,fec_candidate_id,short_title,first_name,last_name,party,date_of_birth,gender,state
88,H2CT02112,Rep.,Joe,Courtney,D,1953-04-06,M,CT
89,H0ND01026,Rep.,Kevin,Cramer,R,1961-01-21,M,ND
90,H0AR01083,Rep.,Rick,Crawford,R,1966-01-22,M,AR
91,H6FL13205,Rep.,Charlie,Crist,D,1956-07-24,M,FL
92,H8NY07046,Rep.,Joseph,Crowley,D,1962-03-16,M,NY
93,H2TX23082,Rep.,Henry,Cuellar,D,1955-09-19,M,TX
94,H0TX07055,Rep.,John,Culberson,R,1956-08-24,M,TX
95,H6MD07160,Rep.,Elijah,Cummings,D,1951-01-18,M,MD
96,H4FL26038,Rep.,Carlos,Curbelo,R,1980-03-01,M,FL
98,H6OH08315,Rep.,Warren,Davidson,R,1970-03-01,M,OH
99,H4IL07037,Rep.,Danny,Davis,D,1941-09-06,M,IL
100,H2IL13120,Rep.,Rodney,Davis,R,1970-01-05,M,IL
101,H0CA49055,Rep.,Susan,Davis,D,1944-04-13,F,CA
102,H6OR04047,Rep.,Peter,DeFazio,D,1947-05-27,M,OR
103,H6CO01141,Rep.,Diana,DeGette,D,1957-07-29,F,CO
104,H2MD06195,Rep.,John,Delaney,D,1963-04-16,M,MD
105,H0CT03072,Rep.,Rosa,DeLauro,D,1943-03-02,F,CT
106,H0WA08046,Rep.,Suzan,DelBene,D,1962-02-17,F,WA
107,H2FL08063,Rep.,Val,Demings,D,1957-03-12,F,FL
108,H0CA19173,Rep.,Jeffrey,Denham,R,1967-07-29,M,CA
111,H0CA10073,Rep.,Mark,DeSaulnier,D,1952-03-31,M,CA
112,H0TN04195,Rep.,Scott,DesJarlais,R,1964-02-21,M,TN
113,H0FL19080,Rep.,Ted,Deutch,D,1966-05-07,M,FL
114,H2FL25018,Rep.,Mario,Diaz-Balart,R,1961-09-25,M,FL
115,H4MI12079,Rep.,Debbie,Dingell,D,1953-11-23,F,MI
116,H4TX10028,Rep.,Lloyd,Doggett,D,1946-10-06,M,TX
117,H6NY11174,Rep.,Daniel,Donovan,R,1956-11-06,M,NY
118,H4PA18131,Rep.,Mike,Doyle,D,1953-08-05,M,PA
119,H0WI07051,Rep.,Sean,Duffy,R,1971-10-03,M,WI
120,H0SC03077,Rep.,Jeffrey,Duncan,R,1966-01-07,M,SC
121,H8TN02069,Rep.,John,Duncan,R,1947-07-21,M,TN
122,H6FL02208,Rep.,Neal,Dunn,R,1953-02-16,M,FL
123,H6MN05183,Rep.,Keith,Ellison,D,1963-08-04,M,MN
124,H4MN06087,Rep.,Tom,Emmer,R,1961-03-03,M,MN
125,H8NY19058,Rep.,Eliot,Engel,D,1947-02-18,M,NY
126,H8CA12098,Rep.,Anna,Eshoo,D,1942-12-13,F,CA
127,H2NY13096,Rep.,Adriano,Espaillat,D,1954-09-27,M,NY
129,H2CT05131,Rep.,Elizabeth,Esty,D,1959-08-25,F,CT
130,H6PA02171,Rep.,Dwight,Evans,D,1954-05-16,M,PA
132,H6NY19169,Rep.,John,Faso,R,1952-08-25,M,NY
133,H6GA03113,Rep.,A.,Ferguson,R,1966-11-15,M,GA
134,H6PA08277,Rep.,Brian,Fitzpatrick,R,1973-12-17,M,PA
135,H0TN03254,Rep.,Chuck,Fleischmann,R,1962-10-11,M,TN
136,H0TX17104,Rep.,Bill,Flores,R,1954-02-25,M,TX
137,H4NE01064,Rep.,Jeff,Fortenberry,R,1960-12-27,M,NE
138,H8IL14067,Rep.,Bill,Foster,D,1955-10-07,M,IL
139,H4NC05146,Rep.,Virginia,Foxx,R,1943-06-29,F,NC
140,H2FL14053,Rep.,Lois,Frankel,D,1948-05-16,F,FL
142,H2NJ05014,Rep.,Rodney,Frelinghuysen,R,1946-04-29,M,NJ
143,H8OH11141,Rep.,Marcia,Fudge,D,1952-10-29,F,OH
144,H2HI02508,Rep.,Tulsi,Gabbard,D,1981-04-12,F,HI
145,H6FL01119,Rep.,Matt,Gaetz,R,1982-05-07,M,FL
146,H6WI08155,Rep.,Mike,Gallagher,R,1984-03-03,M,WI
147,H4AZ07043,Rep.,Ruben,Gallego,D,1979-11-20,M,AZ
148,H0CA10149,Rep.,John,Garamendi,D,1945-01-24,M,CA
149,H6VA05142,Rep.,Thomas,Garrett,R,1972-03-27,M,VA
151,H0OH18077,Rep.,Bob,Gibbs,R,1954-06-14,M,OH
152,H4TX04039,Rep.,Louie,Gohmert,R,1953-08-18,M,TX
154,H6TX15162,Rep.,Vicente,Gonzalez,D,1967-09-04,M,TX
156,H2VA06115,Rep.,Robert,Goodlatte,R,1952-09-22,M,VA
157,H0AZ01259,Rep.,Paul,Gosar,R,1958-11-22,M,AZ
158,H6NJ05171,Rep.,Josh,Gottheimer,D,1975-03-08,M,NJ
159,H0SC04257,Rep.,Trey,Gowdy,R,1964-08-22,M,SC
160,H6TX12060,Rep.,Kay,Granger,R,1943-01-18,F,TX
161,H4LA06153,Rep.,Garret,Graves,R,1972-01-31,M,LA
162,H0MO06073,Rep.,Sam,Graves,R,1963-11-07,M,MO
163,H0GA09030,Rep.,Tom,Graves,R,1970-02-03,M,GA
164,H2TX29030,Rep.,Gene,Green,D,1947-10-17,M,TX
165,H4TX09095,Rep.,Al,Green,D,1947-09-01,M,TX
166,H0VA09055,Rep.,Morgan,Griffith,R,1958-03-15,M,VA
167,H2AZ07070,Rep.,Raúl,Grijalva,D,1948-02-19,M,AZ
168,H4WI06048,Rep.,Glenn,Grothman,R,1955-07-03,M,WI
169,H8KY02031,Rep.,Brett,Guthrie,R,1964-02-18,M,KY
170,H2IL08039,Rep.,Luis,Gutiérrez,D,1953-12-10,M,IL
171,H2HI02110,Rep.,Colleen,Hanabusa,D,1951-05-04,F,HI
173,H8MS03067,Rep.,Gregg,Harper,R,1956-06-01,M,MS
174,H8MD01094,Rep.,Andy,Harris,R,1957-01-25,M,MD
175,H0MO04086,Rep.,Vicky,Hartzler,R,1960-10-13,F,MO
176,H2FL23021,Rep.,Alcee,Hastings,D,1936-09-05,M,FL
177,H0WA03161,Rep.,Denny,Heck,D,1952-07-29,M,WA
178,H2TX05121,Rep.,Jeb,Hensarling,R,1957-05-29,M,TX
180,H0WA03187,Rep.,Jaime,Herrera Beutler,R,1978-11-03,F,WA
181,H0GA07125,Rep.,Jody,Hice,R,1960-04-22,M,GA
182,H4NY27076,Rep.,Brian,Higgins,D,1959-10-06,M,NY
183,H6LA03148,Rep.,Clay,Higgins,R,1961-08-24,M,LA
184,H4AR02141,Rep.,French,Hill,R,1956-12-05,M,AR
185,H8CT04172,Rep.,Jim,Himes,D,1966-07-05,M,CT
186,H2NC13110,Rep.,George,Holding,R,1968-04-17,M,NC
187,H6IN09176,Rep.,Trey,Hollingsworth,R,1983-09-12,M,IN
188,H2MD05155,Rep.,Steny,Hoyer,D,1939-06-14,M,MD
189,H2NC08185,Rep.,Richard,Hudson,R,1971-11-04,M,NC
190,H2CA06259,Rep.,Jared,Huffman,D,1964-02-18,M,CA
191,H0MI02094,Rep.,Bill,Huizenga,R,1969-01-31,M,MI
192,H0IL14080,Rep.,Randy,Hultgren,R,1966-03-01,M,IL
193,H8CA52052,Rep.,Duncan,Hunter,R,1976-12-07,M,CA
194,H0TX23086,Rep.,Will,Hurd,R,1977-08-19,M,TX
195,H0CA48024,Rep.,Darrell,Issa,R,1953-11-01,M,CA
196,H4TX18054,Rep.,Sheila,Jackson Lee,D,1950-01-12,F,TX
197,H6WA07458,Rep.,Pramila,Jayapal,D,1965-09-21,F,WA
198,H2NY10092,Rep.,Hakeem,Jeffries,D,1970-08-04,M,NY
200,H8KS02090,Rep.,Lynn,Jenkins,R,1963-06-10,F,KS
201,H6GA04129,Rep.,Hank,Johnson,D,1954-10-02,M,GA
202,H0OH06189,Rep.,Bill,Johnson,R,1954-11-10,M,OH
203,H2TX00015,Rep.,Eddie,Johnson,D,1935-12-03,F,TX
204,H2TX03118,Rep.,Sam,Johnson,R,1930-10-11,M,TX
205,H6LA04138,Rep.,Mike,Johnson,R,1972-01-30,M,LA
207,H2NC01081,Rep.,Walter,Jones,R,1943-02-10,M,NC
208,H6OH04082,Rep.,Jim,Jordan,R,1964-02-17,M,OH
209,H2OH14064,Rep.,Dave,Joyce,R,1957-03-17,M,OH
210,H2OH09031,Rep.,Marcy,Kaptur,D,1946-06-17,F,OH
211,H4NY24073,Rep.,John,Katko,R,1962-11-09,M,NY
212,H0MA10082,Rep.,Bill,Keating,D,1952-09-06,M,MA
213,H6MS01131,Rep.,Trent,Kelly,R,1966-03-01,M,MS
214,H0PA03271,Rep.,Mike,Kelly,R,1948-05-10,M,PA
215,H2IL02172,Rep.,Robin,Kelly,D,1956-04-30,F,IL
216,H2MA04073,Rep.,Joseph,Kennedy,D,1980-10-04,M,MA
217,H4CA12055,Rep.,Ro,Khanna,D,1976-09-13,M,CA
218,H2NV00050,Rep.,Ruben,Kihuen,D,1980-04-25,M,NV
219,H2MI05119,Rep.,Dan,Kildee,D,1958-08-11,M,MI
220,H2WA06129,Rep.,Derek,Kilmer,D,1974-01-01,M,WA
221,H6WI03099,Rep.,Ron,Kind,D,1963-03-16,M,WI
222,H2NY03089,Rep.,Peter,King,R,1944-04-05,M,NY
223,H2IA05072,Rep.,Steve,King,R,1949-05-28,M,IA
224,H0IL11052,Rep.,Adam,Kinzinger,R,1978-02-27,M,IL
225,H4CA25123,Rep.,Steve,Knight,R,1966-12-17,M,CA
226,H6IL08147,Rep.,Raja,Krishnamoorthi,D,1973-07-19,M,IL
227,H0NH02181,Rep.,Ann,Kuster,D,1956-09-05,F,NH
228,H2TN07103,Rep.,David,Kustoff,R,1966-10-08,M,TN
229,H0ID01253,Rep.,Raúl,Labrador,R,1967-12-08,M,ID
230,H6IL18088,Rep.,Darin,LaHood,R,1968-07-05,M,IL
231,H2CA02142,Rep.,Doug,LaMalfa,R,1960-07-02,M,CA
233,H6CO05159,Rep.,Doug,Lamborn,R,1954-05-24,M,CO
234,H6NJ12136,Rep.,Leonard,Lance,R,1952-06-25,M,NJ
235,H0RI02139,Rep.,Jim,Langevin,D,1964-04-22,M,RI
236,H0WA02080,Rep.,Rick,Larsen,D,1965-06-15,M,WA
237,H8CT01046,Rep.,John,Larson,D,1948-07-22,M,CT
238,H8OH05036,Rep.,Robert,Latta,R,1956-04-18,M,OH
239,H2MI14111,Rep.,Brenda,Lawrence,D,1954-10-18,F,MI
240,H0FL02086,Rep.,Al,Lawson,D,1948-09-23,M,FL
241,H8CA09060,Rep.,Barbara,Lee,D,1946-07-16,F,CA
243,H2MI17023,Rep.,Sander,Levin,D,1931-09-06,M,MI
244,H6MN02149,Rep.,Jason,Lewis,R,1955-09-23,M,MN
245,H6GA05217,Rep.,John,Lewis,D,1940-02-21,M,GA
246,H4CA33119,Rep.,Ted,Lieu,D,1969-03-29,M,CA
247,H4IL03077,Rep.,Daniel,Lipinski,D,1966-07-15,M,IL
248,H2NJ02037,Rep.,Frank,LoBiondo,R,1946-05-12,M,NJ
249,H6IA02146,Rep.,Dave,Loebsack,D,1952-12-23,M,IA
250,H4CA16049,Rep.,Zoe,Lofgren,D,1947-12-21,F,CA
251,H0MO07113,Rep.,Billy,Long,R,1955-08-11,M,MO
252,H4GA11061,Rep.,Barry,Loudermilk,R,1963-12-22,M,GA
253,H2UT04023,Rep.,Mia,Love,R,1975-12-06,F,UT
254,H2CA00104,Rep.,Alan,Lowenthal,D,1941-03-08,M,CA
255,H8NY20056,Rep.,Nita,Lowey,D,1937-07-05,F,NY
256,H4OK06056,Rep.,Frank,Lucas,R,1960-01-06,M,OK
257,H8MO09153,Rep.,Blaine,Luetkemeyer,R,1952-05-07,M,MO
258,H8NM03196,Rep.,Ben,Luján,D,1972-06-07,M,NM
260,H2MA09072,Rep.,Stephen,Lynch,D,1955-03-31,M,MA
261,H4NJ03130,Rep.,Tom,MacArthur,R,1960-10-16,M,NJ
262,H2NY14037,Rep.,Carolyn,Maloney,D,1946-02-19,F,NY
263,H2NY22139,Rep.,Sean,Maloney,D,1966-07-30,M,NY
264,H4TX24094,Rep.,Kenny,Marchant,R,1951-02-23,M,TX
265,H0PA10078,Rep.,Tom,Marino,R,1952-08-15,M,PA
266,H6KS01179,Rep.,Roger,Marshall,R,1960-08-09,M,KS
267,H2KY04121,Rep.,Thomas,Massie,R,1971-01-13,M,KY
268,H6FL18097,Rep.,Brian,Mast,R,1980-07-10,M,FL
269,H6CA05195,Rep.,Doris,Matsui,D,1944-09-25,F,CA
270,H6CA22125,Rep.,Kevin,McCarthy,R,1965-01-26,M,CA
271,H4TX10093,Rep.,Michael,McCaul,R,1962-01-14,M,TX
272,H8CA04152,Rep.,Tom,McClintock,R,1956-07-10,M,CA
273,H0MN04049,Rep.,Betty,McCollum,D,1954-07-12,F,MN
274,H6VA04061,Rep.,A.,McEachin,D,1961-10-10,M,VA
275,H4MA03022,Rep.,Jim,McGovern,D,1959-11-20,M,MA
276,H4NC10047,Rep.,Patrick,McHenry,R,1975-10-22,M,NC
277,H0WV01072,Rep.,David,McKinley,R,1947-03-28,M,WV
278,H4WA05077,Rep.,Cathy,McMorris Rodgers,R,1969-05-22,F,WA
279,H4CA11081,Rep.,Jerry,McNerney,D,1951-06-18,M,CA
280,H2AZ08102,Rep.,Martha,McSally,R,1966-03-22,F,AZ
281,H2NC11080,Rep.,Mark,Meadows,R,1959-07-28,M,NC
283,H8NY06048,Rep.,Gregory,Meeks,D,1953-09-25,M,NY
284,H2NY06116,Rep.,Grace,Meng,D,1975-10-01,F,NY
285,H0IN02125,Rep.,Luke,Messer,R,1969-02-27,M,IN
286,H4MI04118,Rep.,Paul,Mitchell,R,1961-05-08,M,MI
287,H4MI04126,Rep.,John,Moolenaar,R,1961-05-08,M,MI
288,H4WV02080,Rep.,Alex,Mooney,R,1971-06-05,M,WV
289,H4WI04183,Rep.,Gwen,Moore,D,1951-04-18,F,WI
291,H4MA06090,Rep.,Seth,Moulton,D,1978-10-24,M,MA
292,H2OK02083,Rep.,Markwayne,Mullin,R,1977-07-26,M,OK
294,H6FL07140,Rep.,Stephanie,Murphy,D,1978-09-16,F,FL
296,H2NY17071,Rep.,Jerrold,Nadler,D,1947-06-13,M,NY
297,H8CA34068,Rep.,Grace,Napolitano,D,1936-12-04,F,CA
298,H8MA02041,Rep.,Richard,Neal,D,1949-02-14,M,MA
299,H4WA04104,Rep.,Dan,Newhouse,R,1955-07-10,M,WA
300,H0SD00054,Rep.,Kristi,Noem,R,1971-11-30,F,SD
301,H2MN08111,Rep.,Rick,Nolan,D,1943-12-17,M,MN
302,H4NJ01084,Rep.,Donald,Norcross,D,1958-12-13,M,NJ
305,H8CA20059,Rep.,Devin,Nunes,R,1973-10-01,M,CA
306,H6AZ01199,Rep.,Tom,O'Halleran,D,1946-01-24,M,AZ
307,S8TX00285,Rep.,Beto,O'Rourke,D,1972-09-26,M,TX
308,H8TX22107,Rep.,Pete,Olson,R,1962-12-09,M,TX
309,H0MS04120,Rep.,Steven,Palazzo,R,1970-02-21,M,MS
310,H8NJ03073,Rep.,Frank,Pallone,D,1951-10-30,M,NJ
311,H4AL06098,Rep.,Gary,Palmer,R,1954-05-14,M,AL
312,H6CA20152,Rep.,Jimmy,Panetta,D,1969-10-01,M,CA
313,H6NJ08118,Rep.,Bill,Pascrell,D,1937-01-25,M,NJ
314,H8MN03077,Rep.,Erik,Paulsen,R,1965-05-14,M,MN
315,H2NJ10154,Rep.,Donald,Payne,D,1958-12-17,M,NJ
316,H2NM02126,Rep.,Steve,Pearce,R,1947-08-24,M,NM
317,H8CA05035,Rep.,Nancy,Pelosi,D,1940-03-26,F,CA
318,H6CO07023,Rep.,Ed,Perlmutter,D,1953-05-01,M,CO
319,H2PA04135,Rep.,Scott,Perry,R,1962-05-27,M,PA
320,H2CA52089,Rep.,Scott,Peters,D,1958-06-17,M,CA
321,H2MN07014,Rep.,Collin,Peterson,D,1944-06-29,M,MN
322,H8ME01120,Rep.,Chellie,Pingree,D,1955-04-02,F,ME
323,H2NC09134,Rep.,Robert,Pittenger,R,1948-08-15,M,NC
325,H2WI02124,Rep.,Mark,Pocan,D,1964-08-14,M,WI
326,H4TX02108,Rep.,Ted,Poe,R,1948-09-10,M,TX
327,S2ME00158,Rep.,Bruce,Poliquin,R,1953-11-01,M,ME
328,H8CO02137,Rep.,Jared,Polis,D,1975-05-12,M,CO
330,H8FL15107,Rep.,Bill,Posey,R,1947-12-18,M,FL
331,H6NC04037,Rep.,David,Price,D,1940-08-17,M,NC
333,H0IL05096,Rep.,Mike,Quigley,D,1958-10-17,M,IL
335,H6MD08457,Rep.,Jamie,Raskin,D,1962-12-13,M,MD
336,H4TX04153,Rep.,John,Ratcliffe,R,1965-10-20,M,TX
337,H0NY29054,Rep.,Tom,Reed,R,1971-11-18,M,NY
338,H4WA08071,Rep.,Dave,Reichert,R,1950-08-29,M,WA
339,H0OH16097,Rep.,Jim,Renacci,R,1958-12-03,M,OH
340,H4NY04075,Rep.,Kathleen,Rice,D,1965-02-15,F,NY
341,H2SC07066,Rep.,Tom,Rice,R,1957-08-04,M,SC
342,H8LA02054,Rep.,Cedric,Richmond,D,1973-09-13,M,LA
343,H0AL02087,Rep.,Martha,Roby,R,1976-07-27,F,AL
344,H6TN01388,Rep.,Phil,Roe,R,1945-07-21,M,TN
345,H2AL03032,Rep.,Mike,Rogers,R,1958-07-16,M,AL
346,H0KY05015,Rep.,Harold,Rogers,R,1937-12-31,M,KY
347,H8CA42061,Rep.,Dana,Rohrabacher,R,1947-06-21,M,CA
348,H0IN04170,Rep.,Todd,Rokita,R,1970-02-09,M,IN
349,H6FL19087,Rep.,Francis,Rooney,R,1953-12-04,M,FL
350,H8FL16022,Rep.,Tom,Rooney,R,1970-11-21,M,FL
351,H0FL18025,Rep.,Ileana,Ros-Lehtinen,R,1952-07-15,F,FL
352,S8NV00156,Rep.,Jacky,Rosen,D,1957-08-02,F,NV
353,H6IL06117,Rep.,Peter,Roskam,R,1961-09-13,M,IL
354,H0FL12101,Rep.,Dennis,Ross,R,1959-10-18,M,FL
355,H0PA04220,Rep.,Keith,Rothfus,R,1962-04-25,M,PA
356,H2NC07096,Rep.,David,Rouzer,R,1972-02-16,M,NC
357,H2CA33048,Rep.,Lucille,Roybal-Allard,D,1941-06-12,F,CA
358,H6CA39020,Rep.,Edward,Royce,R,1951-10-12,M,CA
359,H2CA36439,Rep.,Raul,Ruiz,D,1972-08-25,M,CA
360,H2MD02160,Rep.,C.A. Dutch,Ruppersberger,D,1946-01-31,M,MD
361,H2IL01042,Rep.,Bobby,Rush,D,1946-11-23,M,IL
362,H4OK05132,Rep.,Steve,Russell,R,1963-05-25,M,OK
363,H6FL04105,Rep.,John,Rutherford,R,1952-09-02,M,FL
364,H8WI01024,Rep.,Paul,Ryan,R,1970-01-29,M,WI
365,H2OH17109,Rep.,Tim,Ryan,D,1973-07-16,M,OH
367,H2CA39078,Rep.,Linda,Sánchez,D,1969-01-28,F,CA
368,H4SC01073,Rep.,Mark,Sanford,R,1960-05-28,M,SC
369,H6MD03292,Rep.,John,Sarbanes,D,1962-05-22,M,MD
370,H0LA01087,Rep.,Steve,Scalise,R,1965-10-06,M,LA
372,H8IL09067,Rep.,Jan,Schakowsky,D,1944-05-26,F,IL
373,H0CA27085,Rep.,Adam,Schiff,D,1960-06-22,M,CA
374,H2IL10068,Rep.,Brad,Schneider,D,1961-08-20,M,IL
375,H8OR05107,Rep.,Kurt,Schrader,D,1951-10-19,M,OR
376,H4AZ06045,Rep.,David,Schweikert,R,1962-03-03,M,AZ
377,H6VA01117,Rep.,Robert,Scott,D,1947-04-30,M,VA
378,H2GA13012,Rep.,David,Scott,D,1945-06-27,M,GA
379,H0GA08099,Rep.,Austin,Scott,R,1969-12-10,M,GA
380,H8WI09050,Rep.,F.,Sensenbrenner,R,1943-06-14,M,WI
381,H0NY18065,Rep.,José,Serrano,D,1943-10-24,M,NY
382,H2TX03126,Rep.,Pete,Sessions,R,1955-03-22,M,TX
383,H0AL07086,Rep.,Terri,Sewell,D,1965-01-01,F,AL
384,H6NH01230,Rep.,Carol,Shea-Porter,D,1952-12-02,F,NH
385,H6CA24113,Rep.,Brad,Sherman,D,1954-10-24,M,CA
386,H2IL20042,Rep.,John,Shimkus,R,1958-02-21,M,IL
387,H2PA09035,Rep.,Bill,Shuster,R,1961-01-10,M,PA
388,H8ID02064,Rep.,Mike,Simpson,R,1950-09-08,M,ID
389,H2AZ09019,Rep.,Kyrsten,Sinema,D,1976-07-12,F,AZ
390,H6NJ13191,Rep.,Albio,Sires,D,1951-01-26,M,NJ
392,H8NJ04014,Rep.,Christopher,Smith,R,1953-03-04,M,NJ
393,H6TX21012,Rep.,Lamar,Smith,R,1947-11-19,M,TX
394,H4MO08162,Rep.,Jason,Smith,R,1980-06-16,M,MO
395,H6WA09025,Rep.,Adam,Smith,D,1965-06-15,M,WA
396,H6NE03115,Rep.,Adrian,Smith,R,1970-12-19,M,NE
397,H6PA16320,Rep.,Lloyd,Smucker,R,1964-01-23,M,PA
398,H6FL09179,Rep.,Darren,Soto,D,1978-02-25,M,FL
399,H8CA12171,Rep.,Jackie,Speier,D,1950-05-14,F,CA
400,H4NY21079,Rep.,Elise,Stefanik,R,1984-07-02,F,NY
401,H2UT02324,Rep.,Chris,Stewart,R,1960-07-15,M,UT
402,H8OH15076,Rep.,Steve,Stivers,R,1965-03-24,M,OH
403,H6NY03247,Rep.,Thomas,Suozzi,D,1962-08-31,M,NY
404,H2CA15094,Rep.,Eric,Swalwell,D,1980-11-16,M,CA
405,H2CA43245,Rep.,Mark,Takano,D,1960-12-10,M,CA
406,H0VA02118,Rep.,Scott,Taylor,R,1979-06-27,M,VA
407,H4NY22051,Rep.,Claudia,Tenney,R,1961-02-04,F,NY
